reading	kind	characters	surfaces	parts_of_speech	allocations	school_source_count	school_sources	japanese_education_source_count	japanese_education_sources	auto_rule_failures	selected
ちゅうこく	normal	5	忠告	名・ス他	2	4	中央,国語研,新阪本,阪本	1	国語研	japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちゅうごく	normal	5	中国	名	2	3	国語研,新阪本,阪本	4	七種対照,国語研,工藤,玉村		auto-selected
ちゅうごくご	normal	6	中国語	名	2	1	国語研	1	国語研	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちゅうごくじん	terminal	7	中国人	名	2	2	国語研,阪本	2	七種対照,国語研	school-source-count-3	unreviewed
ちゅうさい	normal	5	仲裁	名・ス他	3	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちゅうざ	normal	4	中座	名・ス自	3	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちゅうざい	normal	5	駐在	名・ス自	2	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちゅうし	normal	4	中止,注視	名・ス他	2,3	6	中央,児言研,国語研,新阪本,田中,阪本	5	七種対照,国語研,工藤,木幡,玉村		auto-selected
ちゅうしゃく	normal	6	注釈・×註釈	名・ス他	3	3	児言研,新阪本,阪本	0		japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちゅうしゃじょう	normal	8	駐車場	名	2	1	国語研	4	七種対照,国語研,工藤,木幡	school-source-count-3	unreviewed
ちゅうしゅう	normal	6	中秋	名	2	1	新阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちゅうしゅつ	normal	6	抽出	名・ス他	3	3	児言研,新阪本,阪本	0		japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちゅうしょう	normal	6	中傷,抽象	名・ス他	3	4	児言研,国語研,新阪本,阪本	1	国語研	japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちゅうしょく	normal	6	昼食・中食	名	2	4	中央,国語研,新阪本,阪本	1	国語研	japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちゅうしん	terminal	5	中心,忠臣,注進,衷心	名,名・ス他	1,3	5	中央,国語研,新阪本,田中,阪本	5	七種対照,国語研,工藤,木幡,玉村		auto-selected
ちゅうじえん	terminal	6	中耳炎	名	3	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちゅうじき	normal	5	中食・昼食	名	3	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちゅうじく	normal	5	中軸	名	3	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちゅうじつ	normal	5	忠実	名・形動	2	4	児言研,国語研,新阪本,阪本	1	国語研	japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちゅうじゅん	terminal	6	中旬	名	2	3	中央,国語研,阪本	2	国語研,玉村		auto-selected
ちゅうじょう	normal	6	衷情	名	3	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちゅうすう	normal	5	中枢	名	3	2	新阪本,阪本	1	七種対照	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちゅうせい	normal	5	中世,中性,中正,忠誠	名,名・形動	3	3	国語研,新阪本,阪本	2	七種対照,国語研		auto-selected
ちゅうせき	normal	5	柱石	名	3	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちゅうせん	terminal	5	抽選・抽×籤	名・ス自	3	3	中央,新阪本,阪本	0		japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちゅうぜつ	normal	5	中絶	名・ス自他	3	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちゅうぞう	normal	5	鋳造	名・ス他	3	2	新阪本,阪本	1	七種対照	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちゅうだん	terminal	5	中断,中段	名,名・ス自他	2,3	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちゅうてん	terminal	5	中天,中点	名	3	1	阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちゅうと	normal	4	中途	名	1	2	国語研,阪本	1	国語研	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちゅうとう	normal	5	中等	名	2	1	阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちゅうとはんぱ	normal	7	中途半端	名・形動	1	2	新阪本,阪本	2	工藤,木幡	school-source-count-3	unreviewed
ちゅうどく	normal	5	中毒	名・ス自	2	4	中央,国語研,新阪本,阪本	1	国語研	japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちゅうにち	normal	5	中日	名	2	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
